Domain;Fluent;Mean;StdDev;Variance;Entropy
UAV;pos-x;-0.003959797362702026;0.8105519550610291;0.6569944718532564;-inf
UAV;pos-y;0.019429617339863904;0.8388800733715547;0.703719777499865;-inf
UAV;pos-z;0.01170831832616858;0.8096964187509503;0.6556082905381143;-inf
UAV;theta;-0.011190648146826918;0.8318671041778549;0.6920028790132501;-inf
UAV;phi;0.027621347978774254;0.8230071530225002;0.677340773926201;-inf
UAV;psi;-4.504766761042711;228.02743424714512;51996.51076933609;-inf
UAV;vel;0.8050693872681507;0.8054948614392441;0.648821971805027;4.416897589984664
UAV;pos-x___a1;0.0355439996662893;0.06947463345137686;0.004826724693203173;-inf
UAV;pos-x___a2;-0.06895483406710741;0.9759779881176737;0.9525330332902219;-inf
UAV;pos-x___a3;0.02153144231271201;1.0035880377426987;1.0071889495002402;-inf
UAV;pos-y___a1;-0.0029243608446862307;0.062330507484783894;0.003885092163310701;-inf
UAV;pos-y___a2;-0.002869245990707988;0.9918594874704046;0.9837852428850538;-inf
UAV;pos-y___a3;0.06408245885498595;1.0585358669168208;1.1204981815493453;-inf
UAV;pos-z___a1;-0.0029566394498323134;0.02306490827355391;0.0005319899936674556;-inf
UAV;pos-z___a2;-0.031569662824558545;1.0242548840873809;1.049098067576854;-inf
UAV;pos-z___a3;0.0696512572528966;0.9548556881714119;0.9117493852333005;-inf
UAV;theta___a1;-0.026795983543186574;0.17532192004546907;0.030737775648429843;-inf
UAV;theta___a2;-0.06938444922238407;0.949532110905288;0.9016112296402522;-inf
UAV;theta___a3;0.06260848832508989;1.0651681905833525;1.1345832742306132;-inf
UAV;phi___a1;-0.008036314901737623;0.17880314889129076;0.03197056605344109;-inf
UAV;phi___a2;0.06803254830068754;1.0492104181805593;1.100842501618624;-inf
UAV;phi___a3;0.0228678105373728;0.9467217774799377;0.8962821239547727;-inf
UAV;psi___a1;-13.507411409002435;394.7985067878938;155865.86096195062;-inf
UAV;psi___a2;-0.0009236594938384965;1.0582851943703866;1.119967552623567;-inf
UAV;psi___a3;-0.005965214631857878;0.9899241436806268;0.9799498102418222;-inf
UAV;vel___a1;0.1370972380719382;0.11939659730289351;0.014255547447509318;4.416897589984665
UAV;vel___a2;1.1362459365252147;0.8119943751736489;0.6593348653136445;4.416897589984664
UAV;vel___a3;1.1418649872072995;0.7769038084833491;0.6035795276359324;4.416897589984663
